Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
CK302,LawandFrench,545,NaN,542,,453,False,False,False
CK304,LawandIrish,588,NaN,540,,462,False,False,False
CK307,LawandBusiness,589,589,556,,522,False,False,False
CK401,ComputerScience,503,495,468,,402,False,False,False
CK402,BiologicalandChemicalSciences,555,555,510,509,498,False,False,False
CK404,BiologicalEarthandEnvironmentalSciences,500,495,467,,412,False,False,False
CK405,Genetics,543,NaN,487,,476,False,False,False
CK406,ChemicalSciences,532,NaN,485,472,457,False,False,False
CK407,MathematicalSciences,566,NaN,566,565,531,False,False,False
CK408,PhysicsandAstrophysics,566,NaN,554,542,511,False,False,False
CK409,IndustrialPhysics-OfferedjointlybyUCCandCI,465,NaN,432,,413,False,False,False
CK411,DataScienceandAnalytics,531,NaN,510,,509,False,False,False
CK412,AgriculturalScience,506,NaN,496,496,457,False,False,False
CK504,NutritionalSciences,555,554,518,,492,False,False,False
CK505,FoodScience,463,NaN,441,440,444,False,False,False
CK600,Engineering,510,509,487,,465,False,False,False
CK606,Architecture-OfferedjointlybyUCCandCIT,543,NaN,484,476,465,False,False,False
CK701,Medicine(UndergraduateEntry-HPATrequired),738,737,731,,729,True,True,True
CK702,Dentistry,625,625,613,613,590,False,False,False
CK703,Pharmacy,613,613,590,589,577,False,False,False
CK704,OccupationalTherapy,601,NaN,566,555,532,False,False,False
CK705,SpeechandLanguageTherapy,568,566,520,,509,False,False,False
CK706,PublicHealthSciences,500,NaN,454,,419,False,False,False
CK707,MedicalandHealthSciences,578,NaN,542,541,510,False,False,False
CK710,GeneralNursing,498,497,454,,440,False,False,False
CK712,Children`sandGeneralNursing(Integrated),565,NaN,533,,499,False,False,False
CK720,MentalHealthNursing,455,452,423,,398,False,False,False
CK730,IntellectualDisabilityNursing,431,NaN,419,411,359,False,False,False
CK740,Midwifery,509,NaN,484,,444,False,False,False
CK791,Medicine-GraduateEntry(GAMSATrequired),60,60,57,,58,True,True,True
AC120,InternationalBusiness,294,294,209,,234,False,False,False
AC137,LiberalArts,271,270,252,,252,False,False,False
CT125,ComputingandIT,242,242,220,,235,False,False,False
CT325,Business,253,253,338,,,False,False,False
CM001,Education-PrimaryTeaching,508,NaN,484,,452,False,False,False
CM002,Education-PrimaryTeaching-GaeltachtApplicant,462,NaN,,,421,True,True,True
CM003,Oideachas�Bunmh�inteoireachtTr�Mhe�nnaGaeilg,513,NaN,528,,491,True,True,True
CM004,Oideachas-Bunmh�inteoireachtTr�Mhe�nnaGaeilg,480,NaN,494,,492,True,True,True
CM010,EducationStudies,382,327,319,,317,False,False,False
CM020,EarlyChildhoodEducation,317,NaN,327,,336,False,False,False
DB500,Computing,234,234,218,218,242,False,False,False
DB501,Computing(CloudComputing),NaN,178,227,227,326,False,False,False
DB502,Computing(DataAnalyticsandBigData),267,233,341,341,269,False,False,False
DB503,Computing(SoftwareDevelopment),NaN,NaN,225,225,242,False,False,False
DB504,Computing(WebandMobileTechnology),NaN,NaN,,281,227,False,False,False
DB510,AudioProductionandMusicProjectManagement,217,217,234,223,233,False,False,False
DB512,BusinessStudies,243,210,218,203,229,False,False,False
DB514,BusinessStudies(Law),239,225,252,,269,False,False,False
DB515,BusinessStudies(HumanResourceManagement),242,217,244,244,225,False,False,False
DB517,Marketing(EventManagement),233,225,238,,226,False,False,False
DB518,Marketing(DigitalMedia),307,209,,,210,False,,False
DB521,AccountingandFinance,243,228,225,195,225,False,False,False
DB524,Business(InformationSystems),247,239,342,309,402,False,False,False
DB525,Marketing(DigitalMediaandCloudComputing),288,288,,,284,False,,False
DB526,Business(CloudComputing),244,244,347,,253,False,False,False
DB527,AppliedSocialCare,254,219,234,260,235,False,False,False
DB531,Marketing,288,176,293,,220,False,False,False
DB562,Psychology,244,233,243,229,208,False,False,False
DB566,SocialScience,262,228,220,227,216,False,False,False
DB567,FilmandCreativeMedia,245,213,218,202,192,False,False,False
DB568,Law,254,228,219,252,245,False,False,False
DB569,Business(Psychology),240,240,252,,279,False,False,False
DC001,Education-EarlyChildhoodEducation,445,NaN,440,,398,False,False,False
DC002,Education-PrimaryTeaching,518,NaN,488,,462,False,False,False
DC003,Education-PrimaryTeaching-GaeltachtApplicant,489,NaN,445,,433,True,True,True
DC004,Education-PrimaryTeaching(ChurchofIrelandCe,451,NaN,411,409,357,True,True,True
DC009,Arts(JointHonours)-Humanities,356,NaN,376,,347,False,False,False
DC010,PostPrimaryTeacherEducation-ReligiousEducati,384,NaN,441,429,386,False,False,False
DC011,PostPrimaryTeacherEducation-ReligiousEducati,409,NaN,412,391,352,False,False,False
DC012,PostPrimaryTeacherEducation-ReligiousEducati,409,NaN,378,,367,False,True,True
DC013,PostPrimaryTeacherEd-GaeilgewithFrench/Germ,413,NaN,419,,410,False,False,False
DC014,BAinJazzandContemporaryMusicPerformance(aud,311,NaN,419,,428,True,True,True
DC110,BusinessStudiesInternational,498,NaN,465,,440,False,False,False
DC111,BusinessStudies,511,NaN,488,,463,False,False,False
DC112,GlobalBusiness(France),542,NaN,517,510,495,False,False,False
DC113,GlobalBusiness(Germany),484,NaN,462,,440,False,False,False
DC114,GlobalBusiness(Spain),544,NaN,522,,501,False,False,False
DC115,AccountingandFinance,544,NaN,510,,487,False,False,False
DC116,GlobalBusiness(USA),613,NaN,579,,578,False,False,False
DC117,AviationManagement/AviationManagementwithPil,484,NaN,476,475,463,False,False,False
DC118,Gn�agusGaeilge/BusinessandIrish,368,NaN,359,,357,False,False,False
DC119,GlobalBusiness(Canada),601,NaN,564,,566,False,False,False
DC120,ComputingforBusiness,403,402,357,,350,False,False,False
DC121,ComputerScience,475,NaN,400,,370,False,False,False
DC123,DataScience,501,NaN,465,,467,False,False,False
DC126,ActuarialMathematics,577,NaN,560,,520,False,False,False
DC127,CommonEntryintoActuarialandFinancialMathemat,541,NaN,532,520,509,False,False,False
DC131,CommunicationStudies,421,NaN,407,402,400,False,False,False
DC132,Journalism,452,NaN,429,422,401,False,False,False
DC133,Multimedia,435,NaN,411,410,403,False,False,False
DC155,AppliedLanguageandTranslationStudies,427,NaN,387,,371,False,False,False
DC161,AnalyticalScience,498,NaN,498,489,446,False,False,False
DC162,ChemicalandPharmaceuticalSciences,531,NaN,521,,488,False,False,False
DC163,ChemicalSciencesGeneralEntry(UndenominatedEnt,466,NaN,,,,False,,False
DC166,EnvironmentalScienceandTechnology,423,NaN,433,399,412,False,False,False
DC168,GeneticsandCellBiology,543,NaN,512,510,489,False,False,False
DC175,PhysicsGeneralEntry(options),400,NaN,419,402,,False,False,False
DC180,BiologicalSciencesGeneralEntry(UndenominatedE,530,NaN,,,,False,,False
DC181,Biotechnology,530,NaN,499,495,476,False,False,False
DC190,ElectronicandComputerEngineering(withchoiceo,488,NaN,413,,391,False,False,False
DC193,MechatronicEngineering,490,NaN,411,,404,False,False,False
DC194,SustainableSystemsandEnergy,476,NaN,,,,False,,False
DC195,MechanicalandManufacturingEngineering,500,NaN,425,,401,False,False,False
DC197,BiomedicalEngineering,510,NaN,423,,402,False,False,False
DC200,CommonEntryintoEngineering(UndenominatedEntry,511,510,422,,381,False,False,False
DC202,SportScienceandHealth,511,NaN,500,498,467,False,False,False
DC203,ScienceEducation,462,NaN,435,,424,False,False,False
DC204,AthleticTherapyandTraining,558,NaN,522,519,484,False,False,False
